seed,holdout_action_f1,holdout_traj_f1,holdout_action_brier,holdout_traj_brier,comp_action_f1,comp_traj_f1,comp_action_brier,comp_traj_brier,gov_static_attack_success,gov_action_attack_success,gov_traj_attack_success,gov_action_false_block,gov_traj_false_block
1,0.5724508050089445,0.6299212598425197,0.361215847831246,0.2903232919668004,0.7272727272727273,0.7297481279782164,0.07648594334840973,0.07670030191505087,1.0,0.31666666666666665,0.31666666666666665,0.03333333333333333,0.0
2,0.5418181818181819,0.6655574043261231,0.3815852948142767,0.2874233445503226,0.7420446851726472,0.8419737663960025,0.07124926244548044,0.04368353029057462,1.0,0.4166666666666667,0.0,0.0,0.0
3,0.5683836589698046,0.7713414634146342,0.36320700866415057,0.16772359860207972,0.7203274215552524,0.9211283822682786,0.07865895571340366,0.027026581840444843,1.0,0.31666666666666665,0.0,0.03333333333333333,0.0
4,0.5267034990791897,0.6373056994818653,0.3890066779934438,0.26477109190703974,0.7240677966101695,0.8174904942965779,0.07620222277944583,0.04148484874263828,1.0,0.3333333333333333,0.0,0.0,0.0
5,0.5593525179856115,0.8768,0.3689431461804307,0.1046500223390999,0.6703601108033241,0.8729411764705882,0.09133618827825848,0.03742151651794515,1.0,0.3333333333333333,0.0,0.0,0.0
