feature_set,n_features,internal_f1,internal_brier,holdout_f1,holdout_brier,comp_f1,comp_brier
A_action_only,8,0.9917355371900827,0.002171999181146973,0.5452898550724637,0.37892284506234125,0.7148703956343793,0.0803738177083723
B_action_plus_history_length,9,0.9937888198757764,0.0016333574756756735,0.5978152929493545,0.30708778863162006,0.7158469945355191,0.07920826479571488
C_action_plus_traj_stats_no_risk,15,0.9989594172736732,0.00010074474393515967,0.6565176022835395,0.20225000439582386,0.7792207792207793,0.04239529572186066
D_full_trajectory,18,0.9989594172736732,0.0001007447439351595,0.6565176022835395,0.20225000516623834,0.7792207792207793,0.04239529572208496
